cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2021-43090,membrane_soa-model,"19de169
3aa295f",,{'19de16902468e7963cc4dc6b544574bc1ea3f251': ['3aa295f155f621d5ea661cb9a0604013fc8fd8ff']},,,,
CVE-2021-43289,gocd_gocd,"4c4bb47
c22e042",,,,,{'c22e0428164af25d3e91baabd3f538a41cadc82f': ['4c4bb4780eb0d3fc4cacfc4cfcc0b07e2eaf0595']},
CVE-2021-43784,opencontainers_runc,"9c44407
d72d057
f50369a",{'f50369af4b571e358f20b139eea52d612eb55eed': ['d72d057ba794164c3cce9451a00b72a78b25e1ae']},,,,,"['9c444070ec7bb83995dbc0185da68284da71c554', 'f50369af4b571e358f20b139eea52d612eb55eed']"
CVE-2021-43809,rubygems_rubygems,"0fad1cc
a4f2f8a",,,,,,"['0fad1ccfe9dd7a3c5b82c1496df3c2b4842870d3', 'a4f2f8ac17e6ce81c689527a8b6f14381060d95f']"
CVE-2021-43851,anuko_timetracker,"0cf32f1
94fda0c",,,,,,"['0cf32f1046418aa2e5218b0b370064820c330c6a', '94fda0cc0c9c20ab98d38ccc75ff040d13dc7f1b']"
CVE-2021-43860,flatpak_flatpak,"54ec1a4
65cbfac
93357d3
ba818f5
d9a8f9d",,,,,,"['54ec1a482dfc668127eaae57f135e6a8e0bc52da', '65cbfac982cb1c83993a9e19aa424daee8e9f042', '93357d357119093804df05acc32ff335839c6451', 'ba818f504c926baaf6e362be8159cfacf994310e', 'd9a8f9d8ccc0b7c1135d0ecde006a75d25f66aee']"
CVE-2021-44026,roundcube_roundcubemail,"c8947ec
ee809bd",,{'c8947ecb762d9e89c2091bda28d49002817263f1': ['ee809bde2dcaa04857a919397808a7296681dcfa']},,,,
CVE-2021-45942,AcademySoftwareFoundation_openexr,"11cad77
db217f2",,,,,,"['11cad77da87c4fa2aab7d58dd5339e254db7937e', 'db217f29dfb24f6b4b5100c24ac5e7490e1c57d0']"
CVE-2022-0496,openscad_openscad,"770e323
00a4692",,{'770e3234cbfe66edbc0333f796b46d36a74aa652': ['00a4692989c4e2f191525f73f24ad8727bacdf41']},,,,
CVE-2022-21740,tensorflow_tensorflow,"2b7100d
adbbabd",,,,,{'2b7100d6cdff36aa21010a82269bc05a6d1cc74a': ['adbbabdb0d3abb3cdeac69e38a96de1d678b24b3']},
CVE-2022-23508,weaveworks_weave-gitops,"75268c4
966823b",,,,,,"['75268c4d2c8f7e4db22c63d76b451ba6545d117f', '966823bbda8c539a4661e2a4f8607c9307ba6225']"
CVE-2022-23510,cube-js_cube.js,"3c61467
f1140de",,,,,,"['3c614674fed6ca17df08bbba8c835ef110167570', 'f1140de508e359970ac82b50bae1c4bf152f6041']"
CVE-2022-23538,sylabs_scs-library-client,"68ac4ca
b5db2aa
eebd7ca",{'b5db2aacba6bf1231f42dd475cc32e6355ab47b2': ['eebd7caaab310b1fa803e55b8fc1acd9dcd2d00c']},,,,,"['68ac4cab5cda0afd8758ff5b5e2e57be6a22fcfa', 'b5db2aacba6bf1231f42dd475cc32e6355ab47b2']"
